# priority<TAB>exact forms<TAB>title<TAB>German explanation
2	olisi|olisin|olisit|olisimme|olisivat	Konditional von olla	Der Stamm olisi- gehört zur Möglichkeitsform von olla („sein“): olisi „wäre“, olisin „ich wäre“, olisit „du wärst“. Mit einem Vergangenheits­partizip entsteht etwa olisi tullut („wäre gekommen“).
2	haluaisin|haluaisi|haluaisit	Wunsch im Konditional	haluta („wollen“) bildet haluaisi-. Das -isi- markiert den Konditional: haluaisin „ich möchte“, haluaisit „du möchtest“, haluaisi „würde wollen“ beziehungsweise nach Verneinung „nicht wollen würde“.
2	pitäisi|pitäisikö	Sollen im Konditional	pitäisi ist die Konditionalform von pitää. Mit Genitiv + Infinitiv bedeutet sie „sollte“; mit einer Elativ-Ergänzung kann es um „mögen“ gehen. -kö macht daraus eine Frage.
2	voisin|voisi|voisit	Möglichkeit	Diese Formen gehören zum Konditional von voida („können“): voisin „ich könnte“, voisit „du könntest“, voisi „könnte“. Nach dem Verneinungsverb steht die Form voisi ohne persönliche Endung.
2	älä	Verneinte Aufforderung	älä richtet ein Verbot an eine Person: „… nicht!“. Das Tätigkeitsverb folgt ohne persönliche Endung, etwa älä puhu („sprich nicht!“).
2	älkää	Verneinte Aufforderung an mehrere	älkää ist die Verneinungsform für eine Aufforderung an mehrere Personen oder eine höfliche Anrede. Vergleiche älä („du sollst nicht …“) und älkää puhuko („sprecht nicht!“).
3	en|et|ei|emme|ette|eivät	Verneinungsverb	Finnisch beugt die Verneinung nach der Person: en „ich nicht“, et „du nicht“, ei „er/sie/es nicht“, emme „wir nicht“, ette „ihr nicht“, eivät „sie nicht“. Zeitform und Modus erkennt man zusätzlich an der folgenden Verbform.
3	enkä|eikä|eivätkä|emmekä	Verneinung verbinden	-kä verbindet die Verneinung mit „und/auch nicht“: enkä „und ich nicht“, eikä „und er/sie/es nicht“. Die Person steckt weiterhin im Verneinungsverb.
3	etkö|eikö|enkö|eivätkö	Verneinte Frage	Die Fragepartikel -ko/-kö hängt hier am Verneinungsverb: etkö „… du nicht?“, eikö „… nicht?“. Die gebeugte Verneinung trägt die Personeninformation.
4	että	Dass-Satz	että verbindet einen übergeordneten Ausdruck mit einem Inhaltssatz, meist wie deutsches „dass“. Das finnische Verb wird dadurch nicht automatisch ans Satzende verschoben.
4	jos	Bedingung	jos leitet eine Bedingung ein: „wenn/falls“. Eine mögliche Bedingung kann mit Präsens stehen; der Konditional kennzeichnet eine vorgestellte oder bedingte Situation.
4	vaikka	Einräumung	vaikka bedeutet in einer Einräumung „obwohl/auch wenn“. Es kann außerdem Beispiele einführen („zum Beispiel/sogar“); der Zusammenhang entscheidet.
4	koska	Grund oder Zeitpunkt	koska leitet als Konjunktion einen Grund ein („weil“). Als Fragewort bedeutet es „wann?“. Beide Verwendungen haben dieselbe Wortform.
4	kun	Zeitlicher Zusammenhang	kun verbindet einen Satz mit einem Zeitpunkt oder Anlass: häufig „als/wenn“. Vergleiche jos für eine Bedingung („falls“).
4	jotta	Zweck ausdrücken	jotta leitet einen Zwecksatz ein: „damit“. Er beschreibt das angestrebte Ergebnis einer Handlung.
4	mutta|vaan	Gegensatz verbinden	mutta bedeutet „aber“. vaan korrigiert typischerweise eine verneinte Alternative: ei … vaan … („nicht …, sondern …“).
4	kuin	Vergleich	kuin verbindet Vergleichsteile: nach einer Steigerung „als“, in einer Gleichsetzung „wie“. Vergleiche suurempi kuin („größer als“) und yhtä suuri kuin („so groß wie“).
4	jossa|josta|johon	Relativpronomen mit Ortsfall	Diese Formen gehören zu joka: jossa „in dem/der“, josta „aus/von dem/der“, johon „in den/die/das hinein“. Der Fall richtet sich nach der Funktion im Relativsatz.
5	mä|mää|mie|sä|sää|sie	Gesprochene Personalpronomen	mä/mää/mie sind gesprochene oder regionale Formen von minä („ich“), sä/sää/sie von sinä („du“). In der Standardsprache stehen minä und sinä.
5	mun|sun	Gesprochene Genitivform	mun entspricht minun („mein/von mir“), sun entspricht sinun („dein/von dir“). Diese verkürzten Formen sind typisch für gesprochene Sprache.
5	oon|oot	Gesprochenes olla	oon ist die gesprochene Form von olen („ich bin“), oot von olet („du bist“). Dieselben Formen können auch als Hilfsverb vor einem Partizip stehen.
6	olen|olet|olemme|olette|ovat|on	Formen von olla	olla bedeutet „sein“: olen „ich bin“, olet „du bist“, on „ist“, olemme „wir sind“, olette „ihr seid/Sie sind“, ovat „sie sind“. Vor einem Partizip dient olla auch als Hilfsverb; in Besitz- und Existenzsätzen wird oft „haben“ oder „es gibt“ übersetzt.
6	olin|olit|oli|olimme|olivat	Vergangenheit von olla	Diese Formen gehören zum Imperfekti von olla: olin „ich war“, olit „du warst“, oli „war“, olimme „wir waren“, olivat „sie waren“. Zusammen mit einem Partizip können sie die Vorvergangenheit bilden.
6	onko|olenko|oletko|olemmeko|oletteko|ovatko|oliko|olitko	Frage mit olla	Die Fragepartikel -ko wird an die gebeugte Form von olla angehängt: onko „ist …?“, oletko „bist du …?“, oliko „war …?“. Person und Zeitform bleiben am Verb erkennbar.
7	minä|sinä|hän|me|te|he	Personalpronomen	minä „ich“, sinä „du“, hän „er/sie“, me „wir“, te „ihr/Sie“, he „sie (Mehrzahl)“: Finnisch unterscheidet bei hän kein männliches oder weibliches Geschlecht. In der ersten und zweiten Person kann die Verbendung das Pronomen oft ersetzen.
7	minut|sinut|hänet|meidät|teidät|heidät	Ganzes Objekt beim Personalpronomen	Dies ist eine besondere Akkusativform: minut „mich“, sinut „dich“, hänet „ihn/sie“, meidät „uns“, teidät „euch/Sie“, heidät „sie“. Sie steht für ein Totalobjekt; bei Verneinung verwendet man normalerweise den Partitiv.
7	minua|sinua|häntä|meitä|teitä	Personalpronomen im Partitiv	Die Formen minua, sinua, häntä, meitä und teitä sind Partitivformen von „ich, du, er/sie, wir, ihr“. Der Partitiv wird beispielsweise durch Verneinung oder bestimmte Verben verlangt.
7	minulle|sinulle|hänelle|meille|teille|heille|tomille|marille	Allativ: Empfänger oder Ziel	-lle kennzeichnet hier eine Allativform: etwa minulle „mir/für mich“ oder Marille „Mari/für Mari“. Den genauen deutschen Ausdruck bestimmt die Verbindung mit dem Verb.
7	minulta|sinulta|häneltä|meiltä|tomilta|marilta	Ablativ: von einer Person	-lta/-ltä markiert den Ablativ: etwa minulta „von mir“. Neben einer Herkunft bezeichnet der Fall bei Verben wie kysyä auch die Person, die man fragt.
7	minusta|sinusta|hänestä|meistä|tomista|marista	Elativ: aus, über oder nach Meinung	Diese Formen stehen im Elativ auf -sta/-stä. Er kann etwa Herkunft, ein Gesprächsthema oder eine Meinung bezeichnen: minusta kann „aus mir“, „über mich“ oder „meiner Meinung nach“ heißen.
7	minulla|sinulla|hänellä|meillä|teillä|heillä|tomilla|marilla	Personenform mit -lla/-llä	Dies ist der Adessiv: etwa minulla „bei mir“ oder meillä „bei uns“. Mit olla dient er oft dazu, Besitz oder ein Befinden auszudrücken.
8	minun|sinun|hänen|meidän|teidän|heidän	Genitiv beim Personalpronomen	Dies sind Genitivformen: etwa minun „mein/von mir“, hänen „sein/ihr“, meidän „unser“. Sie stehen unter anderem vor Besitzwörtern und als Personenangabe in Notwendigkeitskonstruktionen.
8	tomin|marin	Name mit -n	Tomi → Tomin, Mari → Marin: Die -n-Form kann Besitz/Zugehörigkeit kennzeichnen. Sie kann auch als Form eines ganzen Objekts auftreten; entscheidend ist die Satzkonstruktion.
8	tomia	Name im Partitiv	Tomi → Tomia: Der Name trägt die Partitivendung -a. Auch Personennamen erhalten im Finnischen Fallendungen, etwa als Ergänzung bestimmter Verben oder in verneinten Objekten.
8	tämä|tuo|se	Auf etwas verweisen	tämä verweist auf „dies(es)“, tuo auf „jenes/das dort“, se auf „das/es“. Die Wörter haben kein grammatisches Geschlecht. se wird in gesprochener Sprache auch für Personen verwendet.
8	tätä|tuota|sitä	Hinweiswort im Partitiv	tämä → tätä, tuo → tuota, se → sitä: Das sind Partitivformen. Sie können allein stehen oder ein Nomen begleiten; bei einem Begleiter stimmen die Fälle normalerweise überein.
8	tämän|tuon|sen	Hinweiswort mit -n	Diese Formen gehören zu tämä, tuo und se. Die -n-Form steht unter anderem im Genitiv oder bei einem ganzen Objekt. Ihre Satzfunktion bestimmt die deutsche Übersetzung.
8	tässä|siinä|tuossa	Ort mit einem Hinweiswort	tässä, siinä und tuossa sind die Inessivformen von tämä, se und tuo. Sie bezeichnen „in/an dieser, der oder jener Stelle“ und können auch auf einen Sachverhalt verweisen.
8	tästä|siitä|tuosta	Ausgangspunkt mit einem Hinweiswort	tästä, siitä und tuosta sind die Elativformen von tämä, se und tuo. Je nach Konstruktion bedeuten sie „hieraus/daraus“, „davon“ oder „darüber“.
8	tähän|siihen|tuohon	Ziel mit einem Hinweiswort	tähän, siihen und tuohon sind Illativformen. Sie bezeichnen ein Ziel oder eine vom Verb verlangte Ergänzung: beispielsweise „hierhin/dorthin“ oder „darauf“.
8	nämä|nuo|ne	Hinweiswort in der Mehrzahl	nämä „diese“, nuo „jene/die dort“ und ne „sie/die“ sind Pluralformen. Vergleiche die Einzahl tämä, tuo und se.
9	mitä	Fragewort im Partitiv	mitä ist die Partitivform von mikä („was“). Sie steht sowohl in direkten als auch in eingebetteten Fragen und bestimmten Mengen- oder Ausrufskonstruktionen.
9	mikä|kuka|ketkä	Was oder wer?	mikä fragt nach einer Sache („was/welche“), kuka nach einer Person („wer“), ketkä nach mehreren Personen. Anders als im Deutschen braucht eine finnische W-Frage kein zusätzliches Hilfsverb.
9	miksi|miten|kuinka	Grund oder Art erfragen	miksi bedeutet „warum“, miten und kuinka „wie“. Die Frage kann auch in einen anderen Satz eingebettet sein; das Fragewort bleibt dabei erhalten.
9	missä|minne|mihin|mistä	Wo, wohin oder woher?	missä fragt nach dem Ort, minne/mihin nach einem Ziel, mistä nach Herkunft oder Ausgangspunkt. Der Unterschied zwischen Aufenthalt und Richtung ist im Finnischen auch an vielen Fallformen sichtbar.
9	milloin	Zeitpunkt erfragen	milloin bedeutet „wann?“. Es fragt nach einem Zeitpunkt und wird nicht nach Person oder Zahl verändert.
10	kanssa	Nachgestelltes Verhältniswort	kanssa bedeutet „mit“ und steht normalerweise nach einer Genitivform: etwa Tomin kanssa („mit Tomi“). Finnisch hat also neben Präpositionen auch Postpositionen.
10	ilman	Ohne mit Partitiv	ilman bedeutet „ohne“. Das zugehörige Nomen oder Pronomen steht im Partitiv, etwa ilman minua („ohne mich“).
10	varten	Für einen Zweck	varten bedeutet „für/zu … bestimmt“ und folgt einer Partitivform, etwa sinua varten („für dich“). Es steht also nach seiner Ergänzung.
10	tänään|huomenna|eilen	Zeitangabe	tänään heißt „heute“, huomenna „morgen“, eilen „gestern“. Diese Zeitadverbien stehen ohne zusätzliche Präposition; huomenna kann zusammen mit Präsens auf die Zukunft verweisen.
10	kotona|kotiin|kotoa	Zuhause: Ort und Richtung	Lerne diese Formen zusammen: kotona „zu Hause“, kotiin „nach Hause“, kotoa „von zu Hause“. Die deutsche Präposition steckt hier in der finnischen Form.
10	täällä|tuolla|siellä	Ortsadverb	Diese Wörter bezeichnen einen Aufenthaltsort: täällä „hier“, tuolla „dort drüben“, siellä „dort“. Eine Bewegung zu diesem Ort verwendet andere Formen: tänne, tuonne, sinne.
10	tänne|tuonne|sinne	Richtungsadverb	tänne heißt „hierher“, tuonne „dorthin/dort drüben hin“, sinne „dorthin“. Sie bezeichnen ein Ziel, im Unterschied zu täällä/tuolla/siellä für den Aufenthaltsort.
10	ulos|sisään|alas|ylös	Richtung als Adverb	ulos „hinaus“, sisään „hinein“, alas „hinunter“ und ylös „hinauf“ drücken eine Richtung aus. Als kurzer Zuruf können sie ohne ausgesprochenes Verb stehen.
11	liian	Zu hoher Grad	liian bedeutet „zu“ im Sinn von „übermäßig“. Es verstärkt eine Eigenschaft oder Mengenangabe und bleibt unverändert: etwa liian pieni („zu klein“).
11	hyvin|todella|tosi	Grad oder Art ausdrücken	hyvin bedeutet als Artangabe „gut“ und vor einer Eigenschaft oft „sehr“; todella „wirklich/sehr“, tosi als Verstärker „echt/sehr“. Diese Verwendung als Adverb benötigt keine Anpassung an Geschlecht oder Zahl.
11	paljon|vähän	Mengenangabe	paljon „viel“ und vähän „wenig“ sind Mengenwörter. Wenn ein gezähltes oder gemessenes Nomen folgt, steht es häufig im Partitiv; ohne Nomen können sie die Handlung mengenmäßig beschreiben.
11	aina|usein|joskus|harvoin	Häufigkeit	Diese unveränderlichen Adverbien geben an, wie oft etwas geschieht: aina „immer“, usein „oft“, joskus „manchmal/irgendwann“, harvoin „selten“.
11	nyt|jo|vielä|yhä	Zeitlicher Blickwinkel	nyt bedeutet „jetzt“, jo „schon“, vielä „noch“ oder „noch einmal“, yhä „weiterhin/immer noch“. Diese Partikeln ergänzen die zeitliche Bedeutung des Satzes, ohne selbst gebeugt zu werden.
11	ja|tai|vai	Wörter und Aussagen verbinden	ja bedeutet „und“, tai „oder“. vai wird besonders zwischen ausdrücklich zur Auswahl gestellten Alternativen verwendet, etwa in einer Entscheidungsfrage.
11	hei|moi|terve	Gruß als selbstständiger Ausdruck	Hei, moi und terve dienen als Grüße. Ein solcher Gruß braucht kein Verb. Ein nachgestellter Name spricht die Person direkt an und bleibt in der Grundform.
2	mennään|syödään|juodaan|kirjoitetaan|puhutaan|tehdään|katsotaan|aloitetaan|lähdetään|nähdään|pidetään|pitäydytään|kannatetaan	Passiv und gemeinsamer Vorschlag	Diese Passivform lässt die handelnde Person offen. In gesprochener Sprache und gemeinsamen Vorschlägen steht sie häufig für „wir“: etwa mennään („gehen wir“) oder syödään („essen wir“).
3	^pidä|^pidähän|^pitäkää|^pitäkäähän	Aufforderung mit pitää	pidä richtet sich an eine Person, pitäkää an mehrere oder höflich an eine Person. Die Partikel -hän kann die Aufforderung gesprächiger machen. In pidä hauskaa/kivaa bedeutet die Wendung „viel Spaß haben“.
3	^mene|^menkää	Aufforderung: gehen	mene heißt „geh!“, menkää „geht!/gehen Sie!“. Die Grundform ist mennä. Die Aufforderung braucht kein ausgesprochenes Personalpronomen.
3	^ole|^olkaa	Aufforderung mit olla	ole ist die Aufforderungsform von olla („sein“) an eine Person; olkaa richtet sich an mehrere oder ist höflich. Die deutsche Übersetzung verwendet oft „sei/seid“ oder eine feste Bitte.
3	^odota|^odottakaa	Aufforderung: warten	odottaa („warten“) → odota („warte!“), odottakaa („wartet!/warten Sie!“). In der Singularform wird tt zu t; das ist Stufenwechsel.
3	^avaa|^avatkaa	Aufforderung: öffnen	avata („öffnen“) → avaa („öffne!“), avatkaa („öffnet!/öffnen Sie!“). Ein als Ganzes gemeintes Objekt steht in solchen direkten Aufforderungen oft ohne die sonst mögliche -n-Endung.
3	^tule|^tulkaa	Aufforderung: kommen	tulla („kommen“) → tule („komm!“), tulkaa („kommt!/kommen Sie!“). Die Mehrzahl- beziehungsweise Höflichkeitsform ist an -kaa erkennbar.
3	^puhu|^puhukaa	Aufforderung: sprechen	puhua („sprechen“) → puhu („sprich!“), puhukaa („sprecht!/sprechen Sie!“). In einer Aufforderung an eine Person steht hier der Verbstamm ohne persönliche Endung.
3	^katso|^katsokaa	Aufforderung: schauen	katsoa („schauen“) → katso („schau!“), katsokaa („schaut!/schauen Sie!“). Die Form nennt die gewünschte Handlung direkt.
3	^pysy|^pysykää	Aufforderung: bleiben	pysyä („bleiben“) → pysy („bleib!“), pysykää („bleibt!/bleiben Sie!“). Eine Orts- oder Zustandsangabe ergänzt, wo oder wie man bleiben soll.
3	^lopeta|^lopettakaa	Aufforderung: aufhören	lopettaa („beenden/aufhören“) → lopeta („hör auf!“), lopettakaa („hört auf!“). In der Singularform wird tt zu t.
3	^rauhoitu|^rauhoittukaa	Aufforderung: sich beruhigen	rauhoittua bedeutet „sich beruhigen“. rauhoitu richtet sich an eine Person, rauhoittukaa an mehrere. Ein eigenes Wort für deutsches „sich“ ist hier nicht nötig.
3	^varo|^varokaa	Aufforderung: aufpassen	varoa („sich vorsehen“) → varo („pass auf!“), varokaa („passt auf!“). Die betroffene Gefahr kann als Partitiv-Ergänzung folgen.
3	^vastaa|^vastatkaa	Aufforderung: antworten	vastata („antworten“) → vastaa („antworte!“), vastatkaa („antwortet!/antworten Sie!“). Die Frage, auf die man antwortet, kann im Illativ stehen.
3	^herää|^herätkää	Aufforderung: aufwachen	herätä („aufwachen“) → herää („wach auf!“), herätkää („wacht auf!“). Grundform und Aufforderung haben hier verschiedene Stämme.
3	^auttakaa	Aufforderung: helfen	auttakaa gehört zu auttaa („helfen“). -kaa kennzeichnet die Aufforderung an mehrere Personen oder die höfliche Anrede. Die Person, der geholfen wird, steht im Partitiv.
3	^häivy	Aufforderung: verschwinden	häipyä („verschwinden“) → häivy („verschwinde!“). Im Stamm wird p zu v. Die Form ist eine direkte, eher schroffe Aufforderung.
3	^piristy	Aufforderung: aufmuntern	piristyä bedeutet „munter werden/sich aufheitern“. piristy ist die Aufforderung an eine Person; im Deutschen passt etwa „Kopf hoch!“.
3	^suojaudu	Aufforderung: Schutz suchen	suojautua bedeutet „sich schützen/in Deckung gehen“. suojaudu ist die Aufforderung an eine Person; die reflexive Bedeutung steckt bereits im Verb.
4	nukkumaan|uimaan|syömään|pyytämään|ostamaan|puhumaan|tekemään	Tätigkeit als Ziel	Die Form auf -maan/-mään ist der Illativ des dritten Infinitivs. Sie bezeichnet eine Tätigkeit als Ziel oder vom ersten Verb verlangte Ergänzung, etwa mennä nukkumaan („schlafen gehen“).
5	saisinko|saisitko	Höflich um etwas bitten	saada („bekommen/dürfen“) bildet den Konditional saisi-. saisinko bedeutet „könnte/dürfte ich … bekommen?“, saisitko „könntest du …?“. Die Fragepartikel ist -ko.
5	onpa|onhan|onkin	Partikel am Verb	on ist eine Form von olla. Die angehängte Partikel verändert den Gesprächston: -pa kann Staunen betonen, -han auf Bekanntes verweisen, -kin etwas ergänzen oder hervorheben. Die Partikel bildet keine neue Zeitform.
5	olisinpa	Wunschform	olisin ist „ich wäre“, der Konditional von olla. Mit -pa entsteht oft ein Wunsch: „wäre ich doch …“.
6	meiän|meijän|teijän|heiän	Gesprochene Genitivform	meiän/meijän entsprechen meidän („unser“), teijän entspricht teidän („euer“), heiän entspricht heidän („ihr“). In diesen gesprochenen Formen entfällt oder verändert sich d.
7	rahaa|kahvia|teetä|maitoa|ruokaa|leipää|lunta|lihaa|vettä|aikaa	Partitiv bei Stoffen und Mengen	Diese Form ist ein Partitiv: etwa raha → rahaa („Geld“), vesi → vettä („Wasser“), aika → aikaa („Zeit“). Er bezeichnet häufig eine nicht abgegrenzte Menge oder steht wegen der Satzkonstruktion, etwa bei Verneinung.
7	ranskaa|englantia|suomea|ruotsia|saksaa|venäjää	Sprachbezeichnung im Partitiv	Die Sprachbezeichnung steht im Partitiv, zum Beispiel suomi → suomea. Beim Sprechen, Lernen oder Verstehen einer Sprache ist diese Form üblich.
7	vuotta	Jahr im Partitiv	vuosi („Jahr“) bildet den Partitiv vuotta. Die Form steht unter anderem nach Zahlen über eins und in Zeitspannen; die Zahl selbst macht daraus nicht automatisch einen Plural.
7	bostonissa|sairaalassa|kaupungissa|koulussa|töissä|talossa|huoneessa|suunnitelmassa	Inessiv: innerhalb eines Ortes	Diese Form steht im Inessiv auf -ssa/-ssä: etwa Bostonissa („in Boston“) oder koulussa („in der Schule“). töissä ist eine Pluralform für „bei der Arbeit“. Die Form bezeichnet Aufenthalt oder einen entsprechenden abstrakten Bereich.
7	bostoniin|kouluun|sänkyyn|teatteriin|laivaan	Illativ: in etwas hinein	Diese Illativform bezeichnet ein Ziel: etwa Boston → Bostoniin oder koulu → kouluun. Ein Aufenthalt am selben Ort würde eine andere Form verwenden, etwa koulussa.
7	nopeasti|helposti|täydellisesti|lapsellisesti	Adverb auf -sti	-sti bildet hier ein Adverb zu einem Eigenschaftswort: nopea → nopeasti („schnell“), helppo → helposti („leicht“). Das Adverb beschreibt die Art einer Handlung und wird nicht nach der handelnden Person gebeugt.
8	pois|takaisin|pian|yksin|yhdessä|yhessä|yhes	Unveränderliches Adverb	Diese Wörter ergänzen eine Handlung: pois „weg“, takaisin „zurück“, pian „bald“, yksin „allein“, yhdessä „zusammen“. yhessä/yhes sind gesprochene Verkürzungen von yhdessä.
8	kiinni|auki	Offen oder geschlossen	auki bedeutet „offen“, kiinni je nach Verbindung „zu/fest“. Die Wörter bleiben unverändert. In verkürzten Aufforderungen wie suu kiinni („Mund zu“) kann das Verb entfallen.
8	liikaa	Zu große Menge	liikaa bedeutet „zu viel“; es kann eine Handlung mengenmäßig bestimmen oder vor einer Mengen-Ergänzung stehen. Vergleiche liian vor einer Eigenschaft, etwa liian suuri („zu groß“).
8	kaikki	Gesamtheit	kaikki bedeutet „alles“ oder „alle“. Als selbstständiges Wort kann es eine Sache insgesamt oder eine Personengruppe bezeichnen; beim Verb muss man daher auf den gemeinten Zusammenhang achten.
8	joka	Relativwort oder „jeder“	joka kann einen Relativsatz einleiten („der/die/das“) oder vor einem Nomen „jeder/jede/jedes“ bedeuten. Es ist also nicht in jedem Satz ein Relativpronomen.
9	kiitos	Dank als Kurzformel	kiitos bedeutet „Danke“ und kann einen ganzen höflichen Satz ersetzen. Eine Ergänzung mit -sta/-stä nennt häufig, wofür gedankt wird.
9	hyvää|hauskaa|kivaa|mahtavaa|siistiä|upeaa|loistavaa|mieletöntä	Adjektiv im Partitiv	Dies ist eine Partitivform eines Eigenschaftswortes. Sie kommt unter anderem in Wünschen und Bewertungen vor. Lerne beispielsweise hyvä → hyvää, hauska → hauskaa und mieletön → mieletöntä.
3	pelkää|pelkään|pelkäät	Angst mit Partitiv	pelätä bedeutet „fürchten/Angst haben“. Die gefürchtete Person oder Sache steht gewöhnlich im Partitiv, etwa pelkää hämähäkkejä („hat Angst vor Spinnen“).
3	tykkää|tykkään|tykkäät|tykkäsi	Mögen mit Elativ	tykätä („mögen“) verlangt eine Ergänzung im Elativ auf -sta/-stä: etwa tykkää ideasta („mag die Idee“). Die Fallendung entspricht hier keiner wörtlichen deutschen Ortsangabe.
3	vihaa|vihaan|vihaat|inhoan|inhoaa|inhosin|inhosi	Abneigung mit Partitiv	vihata („hassen“) und inhota („nicht mögen/verabscheuen“) verlangen normalerweise ein Partitivobjekt. Bei einer Tätigkeit kann die Ergänzung eine Form auf -mista/-mistä sein.
3	osaa|osaan|osaat	Erlernte Fähigkeit	osata bezeichnet Wissen oder eine erlernte Fähigkeit. Vor einem zweiten Verb steht dessen Grundform, etwa osaa uida („kann schwimmen“); ein Nomen kann das beherrschte Gebiet nennen.
4	syö omenaa	Partitivobjekt beim Essen	syö ist hier „isst“, omenaa der Partitiv von omena („Apfel“). Der Satz betrachtet das Essen, ohne einen ganzen, vollständig gegessenen Apfel als Ergebnis festzulegen.
4	saattaa|saatan	Möglichkeit mit Infinitiv	saattaa + Infinitiv drückt eine Möglichkeit aus: saattaa olla („könnte sein“). saatan ist die ich-Form. Das ist eine andere Verwendung als saattaa jemanden zu begleiten.
4	saa asioita aikaan	Etwas zustande bringen	saada aikaan ist eine feste Verbindung für „zustande bringen/bewirken“. asioita ist der Partitiv Plural von asia („Sache“), saa die gebeugte Form von saada.
4	kuulimme oven aukeavan	Verkürzter Inhaltssatz	aukeavan ist die Genitivform des aktiven VA-Partizips von aueta („aufgehen“). oven nennt das Subjekt des gehörten Vorgangs ebenfalls im Genitiv. Die Konstruktion entspricht „wir hörten, dass die Tür aufging“.
4	kuunnellessani	Gleichzeitigkeit ohne Nebensatz	kuunnella → kuunnellessa-ni: Inessiv des zweiten Infinitivs plus Besitzendung -ni. Die Form bedeutet „während ich zuhörte“; die Besitzendung nennt die handelnde Person.
4	pelastaakseen	Zweck ohne Nebensatz	pelastaa → pelastaakseen: Die längere Form des ersten Infinitivs mit Besitzendung drückt „um … zu retten“ aus. Der Zweck bezieht sich hier auf Tomis Handlung.
4	nukkuvansa|tekeväni	Verkürzter Inhaltssatz	Das VA-Partizip mit Genitiv und Besitzendung kann einen Inhaltssatz ersetzen: nukkuvansa „dass er/sie selbst schläft“, tekeväni „dass ich mache“. Die Endung bezieht die Handlung auf die betreffende Person.
4	laulamalla	Wie etwas erreicht wird	laula-ma-lla ist der dritte Infinitiv im Adessiv. Er bezeichnet das Mittel oder die Art: „durch Singen/indem man singt“.
4	liikkumatta	Ohne sich zu bewegen	liikkua → liikkumatta: Der dritte Infinitiv im Abessiv auf -matta bedeutet „ohne sich zu bewegen“. Als Zuruf wird daraus „Nicht bewegen!“.
4	saanen	Vermutung oder zurückhaltende Bitte	saanen ist die erste Person Singular im Potential von saada. In der Wendung saanen esittäytyä wirkt es wie „darf ich mich wohl vorstellen“. Der Potential ist in Alltagssprache vergleichsweise selten.
4	saisit	Konditional von saada	saisit gehört zu saada, zweite Person Singular im Konditional. In saisit hävetä ist es eine vorwurfsvolle Wendung: „du solltest dich schämen“.
4	sytyttäisitkö	Höfliche Aufforderung als Frage	sytyttää („anzünden/einschalten“) → sytyttäisitkö. -isi- bildet den Konditional, -t die du-Form, -kö die Frage: „würdest du … einschalten?“.
4	voisinko	Höfliche Frage nach Möglichkeit	voida → voisi-n-ko: Konditional, erste Person Singular und Fragepartikel. voisinko heißt „könnte ich?“; das nächste Tätigkeitsverb steht im Infinitiv.
