2	6996336	Möchtest du weitermachen?
2	6946877	Gehen wir hinein.
2	6946876	Mach das Bett.
2	6944692	Wir sprechen am Morgen.
2	6879597	Ich studiere an einer Universität.
2	6865427	Ruhen wir uns hier aus.
2	6793921	Brauchen wir noch etwas?
2	6719497	Schwimmt ihr gern?
2	6719436	Ich niese viel.
2	6712789	Möchtest du reden?
2	6706470	Versucht es noch einmal.
2	7585746	Gibt es weitere Fragen?
2	7561354	Wir sind neugierig.
2	7559510	Wir sind vorsichtig.
2	7524600	Auf dem Tisch steht Essen.
2	7431141	Erinnerst du dich nicht an mich?
2	7428179	Ich weiß das alles.
2	7307710	Tom spielt Schach.
2	7263411	Wer isst den Rest?
2	7224161	Schließ die Tür nicht.
2	7096233	Alle schauen mich an.
2	7093430	Sie sind wütend.
2	7080324	Die Schüler langweilen sich.
2	7074891	Tom möchte laufen.
2	7074767	Du sprichst gut Französisch.
2	7074748	Geh nicht hinein.
2	7052443	Wie viel wiegst du?
2	7591744	Es ist jetzt fertig.
2	7536755	Tom kann es reparieren.
2	7499254	Ich wiege ungefähr 60 Kilo.
2	7288062	Toms Radio ist kaputt.
2	7288052	Mary ist Toms Mutter.
2	7196097	Jetzt bin ich dran.
2	7192272	Wie machen wir das?
2	7187476	Wohin gehen wir jetzt?
2	7096479	Es ist nicht billig.
2	7082332	Sie ist wirklich schön.
2	7006757	Ich kann nicht gut singen.
2	6952522	Welche Sprachen sprichst du?
3	7072196	Ich bin gesprungen.
3	6833293	Hast du verloren?
3	6728102	Hast du geweint?
3	6581904	Ich bin krank geworden.
3	5425063	Ich habe mich erkältet.
3	5416775	Bin ich eingeschlafen?
3	5312083	Ich habe mein Wort gegeben.
3	4183314	Ich bin aufgewacht.
3	7591709	Ich habe nicht gewartet.
3	7583927	Hast du über mich gesprochen?
3	7576521	Ich habe nicht gesprochen.
3	7536720	Der Hund hat gebellt.
3	7428191	Hat Tom gelacht?
3	7249456	Hast du meine Nachricht bekommen?
3	7248986	Habe ich etwas unterbrochen?
3	7224181	Wer hat gewonnen?
3	7216457	Hier ist, was ich gefunden habe.
3	7089931	Tom hat geholfen.
3	7089220	Es war dunkel.
3	7080296	Die Nachricht hat mich gefreut.
3	7074894	Ich war im Urlaub.
3	7072215	Ich habe die Nachricht gesehen.
3	7072210	Ich war zu Hause.
3	7026890	Ich bin Tom gefolgt.
3	7024254	Warst du wütend?
3	7006747	Ich bin auf einem Bauernhof aufgewachsen.
3	7003140	Ich habe eine Schlange gesehen.
3	6970643	Ich habe das Zimmer verlassen.
3	6944697	Ich wusste es.
3	6924775	Ich habe den Wein getrunken.
3	6909034	Ich habe eine Flasche Rotwein geöffnet.
3	6877961	Ich habe allein gegessen.
3	6744480	Alle haben geschlafen.
3	6742568	Ich habe ein Lied gesungen.
3	6742563	Ich habe nicht gesungen.
3	6729254	Hat es euch gefallen?
3	7589741	Ich habe kalt geduscht.
3	7585717	Ich habe nicht viel getrunken.
3	7581975	Tom hat für uns gesungen.
3	7561393	Tom hat im Hotel angerufen.
3	7561382	Tom ist mit dem Fahrrad nach Hause gefahren.
3	7536742	Tom hat gewinkt.
3	7524604	Tom hat das Fenster geöffnet.
3	7524599	Tom ist auf dem Sofa eingeschlafen.
3	7485180	Ich habe nichts anderes gegessen.
3	7452276	Tom ist nach Boston zurückgekehrt.
3	7428200	Sie hat das Licht ausgeschaltet.
3	7244167	Das habe ich schon gemacht.
3	7244154	Ich habe mich im Schatten eines Baumes ausgeruht.
3	7244150	Wie war das Spiel?
4	7586539	Könntest du bitte die Tür öffnen?
4	7524602	Darf ich das Fenster schließen?
4	7480529	Ich würde lieber allein essen.
4	7459531	Habe ich dir die Tickets gegeben?
4	7192274	Wie wurde es gemacht?
4	7084911	Du kannst ihnen vertrauen.
4	7082872	Ich würde es noch einmal machen.
4	7033989	Versuch, nicht zu lachen.
4	7583895	Kannst du das bitte aufschreiben?
4	7428188	Ich würde das nicht tun.
4	7192290	Tom ist der Größte in seiner Klasse.
4	7139109	Ich trinke nicht und rauche nicht.
4	7096472	Tom hat früher Autos verkauft.
4	7074886	Jetzt ist kein guter Zeitpunkt.
4	7074879	Es stört mich nicht, wenn es heiß ist.
4	6955781	Würdest du mir bitte dein Wörterbuch leihen?
4	6952546	Ich habe dieses Buch für mich selbst gekauft.
4	6952539	Das würde Tom nicht gefallen.
4	6952524	Tom könnte dort sein.
4	6948940	Ich würde gern mehr über Tom wissen.
4	6948844	Tom ist reicher als ich.
4	6944801	Hattest du ein schönes Wochenende?
4	6936103	Hast du das schon einmal gemacht?
4	6924745	Das klingt zu kompliziert.
4	7485182	Tom ist viel stärker als ich.
4	6955762	Nimm so viel, wie du möchtest.
4	6952536	Wir haben gute Nachrichten für dich.
4	6950850	Ich wollte schon immer Boston besuchen.
4	6944799	Ich habe eine arbeitsreiche Woche hinter mir.
4	6941737	Ich habe es noch nicht gelesen.
4	6940362	Ich glaube, Tom hat Hunger.
4	6936091	Ich lebe seit zehn Jahren im Ausland.
4	6936079	Mir geht es allmählich besser.
4	6936061	Wo in Australien bist du aufgewachsen?
4	6930582	Ich habe diesen Film dreimal gesehen.
4	6916654	Leider ist das nicht möglich.
4	6909575	Ich habe keine Allergien.
4	6901280	Ich hoffe, Tom wird mich verstehen.
4	6881455	Die Post ist das braune Gebäude dort.
4	6879608	Hast du einen gültigen Reisepass?
4	6865475	Ich habe geglaubt, was Tom gesagt hat.
4	6862388	Ich bin diese Art von Hitze nicht gewohnt.
4	6858953	Nehmen wir an, dass Tom recht hat.
4	6830224	Ich arbeite acht Stunden am Tag.
4	6795053	Ich finde, du solltest zum Friseur gehen.
4	6790790	Ich werde Tom sagen, dass du angerufen hast.
4	6771673	Hilfst du mir, diesen Schreibtisch zu verschieben?
4	6728191	Ich dachte, heute sei Montag.
4	6728110	Züge fahren häufiger als Busse.
4	6704353	Kannst du mir mehr über Boston erzählen?
