# Korrekturen deutscher Übersetzungen (geprüft 2026-09-25). Spalten: Satz-ID, Index der Übersetzung, bisheriger Text (muss exakt passen), neuer Text, Kategorie, Grund.
sentence_id	index	current	corrected	category	reason
5369283	0	Ich mag eure Freunde nicht.	Ich mag deine Freunde nicht.	person	ystävistäsi = deine, nicht eure
5369284	0	Ich mag eure Freunde nicht.	Ich mag deine Freunde nicht.	person	sun = du, nicht ihr
5381386	0	Du hast echt ’n Knall!	Du bist so seltsam.	meaning	outo = seltsam, nicht verrückt
5492787	0	Tom klang glücklich.	Tom wirkte glücklich.	meaning	vaikutti = wirkte, nicht klang
5501675	0	Wann wollen wir uns morgen treffen?	Um wie viel Uhr willst du dich morgen treffen?	person	haluat = du willst, nicht wir
5528821	0	Er verfolgte den Einbrecher.	Er verfolgte den Dieb.	meaning	varas = Dieb, nicht Einbrecher
5612040	0	Bitte bediene dich!	Bitte bedient euch!	person	Käykää = Imperativ Plural → ihr
5612041	0	Bitte bediene dich!	Bitte bedient euch!	person	Imperativ käykää = ihr/Sie, nicht du
5641145	0	Ich liebe dieses Foto.	Das ist ein wunderschönes Bild.	meaning	Aussage über das Bild, nicht 'ich liebe'
5642920	0	Es wurde ein Grab ausgehoben.	Sie hoben ein Grab aus.	meaning	Subjekt he fehlt (Passiv)
5671233	0	Ihre Antwort ist richtig.	Du hast richtig geantwortet.	person	vastasit = du
5671236	0	Ihre Antwort ist richtig.	Du hast richtig geantwortet.	person	sinä vastasit = du
5729222	0	Bleib ruhig!	Sei still!	meaning	hiljaa = still; 'ruhig bleiben' = gelassen bleiben
5729227	0	Eintritt verboten!	Bleibt weg!	person	Imperativ Plural pysykää; 'Eintritt verboten' Bedeutung verändert
5729300	0	Beruhige dich!	Beruhigt euch!	person	Imperativ rauhoittukaa = ihr, nicht du
5730358	0	Schau nach hinten!	Erinnere dich!	meaning	muistele = erinnere dich, nicht schau nach hinten
5732574	0	Vorsicht!	Seid vorsichtig!	person	Imperativ Plural olkaa -> ihr
5758910	0	Tom wurde unruhig.	Tom wurde verlegen.	meaning	vaivaantua = verlegen/befangen werden, nicht unruhig
5807965	0	Könnten Sie langsamer sprechen?	Könntest du langsamer sprechen?	person	sinä = du, nicht Sie
6100629	0	Die Bettlaken sind rein.	Die Bettlaken sind sauber.	german	'rein' für Wäsche unidiomatisch
6143354	0	Tom wirkte leicht verärgert.	Tom klang leicht verärgert.	meaning	kuulosti = klang, nicht wirkte
6144056	0	Tom aß einen Orange.	Tom aß eine Orange.	german	Orange ist feminin: eine Orange
6144076	0	Du bist jetzt sicher.	Ihr seid jetzt in Sicherheit.	person	olette = ihr/Sie, nicht du
6568203	0	Nicht schießen!	Schießt nicht!	person	Imperativ Plural älkää -> ihr
6569699	0	Du bist jung.	Ihr seid jung.	person	te olette nuoria (Plural) = ihr seid jung
6574929	0	Ihr Vater ist groß.	Dein Vater ist groß.	person	sinun = dein, nicht Ihr
6575020	0	Isst du Fleisch?	Esst ihr Fleisch?	person	Syöttekö = ihr, nicht du
6575509	0	Ich habe früher hier gewohnt.	Ich habe früher dort gewohnt.	meaning	siellä = dort, nicht hier
6581909	0	Trinkst du Wein?	Trinkt ihr Wein?	person	Juotteko = ihr, nicht du
6584418	0	Beißt Ihr Hund?	Beißt dein Hund?	person	sinun = dein, nicht Ihr
6589375	0	Bitte nicht füttern!	Füttere die Tiere nicht.	meaning	Person (du) und Objekt eläimiä fehlen
6594165	0	Ich will reich sein.	Ich will reich werden.	meaning	rikastua = reich werden, nicht reich sein
6604409	0	Wir standen alle sofort auf.	Wir standen alle gleichzeitig auf.	meaning	yhtä aikaa = gleichzeitig, nicht sofort
6629779	0	Sehen Sie den Unterschied?	Siehst du den Unterschied?	person	näetkö = du, nicht Sie
6629993	0	Schaue auf diesen Berg.	Schaut auf diesen Berg.	person	katsokaa = Imperativ Plural (ihr)
6631297	0	Ich stehe um sechs auf.	Ich wache um sechs auf.	meaning	herätä = aufwachen, nicht aufstehen
6631610	0	Ich kann mich nicht erinnern, das versprochen zu haben.	Ich kann mich nicht erinnern, dir so etwas versprochen zu haben.	meaning	sinulle (dir) fehlt
6633701	0	Wie lange bist du schon in Japan?	Wie lange seid ihr schon in Japan?	person	te olette olleet = ihr, nicht du
6669718	0	Bist du Tom?	Sind Sie Tom?	person	Oletteko te + Singular-Prädikat = höfliches Sie, nicht du
6677874	0	Heute Morgen bin ich sehr früh aufgestanden.	Heute Morgen bin ich sehr früh aufgewacht.	meaning	heräsin = aufwachen, nicht aufstehen
6690541	0	Vielen Dank für eure Hilfe.	Vielen Dank für deine Hilfe.	person	avustasi = deine, nicht eure
6690720	0	Ihr Buch ist hier.	Dein Buch ist hier.	person	sun = du, nicht Sie
6692910	0	Mach die Augen zu.	Macht die Augen zu.	person	sulkekaa = Imperativ Plural (ihr)
6698919	0	Kochen Sie den Reis.	Koch den Reis.	person	Keitä = Imperativ Singular (du), nicht Sie
6705896	0	Sei respektvoll.	Seid respektvoll.	person	Olkaa = Imperativ Plural (ihr)
6728101	0	Tomi ist kalt und er ist müde.	Tomi friert, und er ist müde.	meaning	Tomilla on kylmä = ihm ist kalt; „Tomi ist kalt“ bedeutet etwas anderes
6729695	0	Ich habe Sie nicht belogen.	Ich habe dich nicht belogen.	person	sinulle = du, nicht Sie
6732337	0	Warne Tom.	Warnt Tom.	person	Varoittakaa = Imperativ Plural (ihr)
6736750	0	Sing nicht.	Singt nicht.	person	älkää = Imperativ Plural (ihr)
6771673	0	Hilfst du mir, diesen Schreibtisch zu verschieben?	Hilfst du mir, diesen Tisch zu verschieben?	meaning	pöytä = Tisch, Schreibtisch wäre kirjoituspöytä
6793834	0	Tom versuchte mich zu küssen, aber ich habe ihn nicht gelassen.	Tom versuchte mich zu küssen, aber ich bin ausgewichen.	meaning	väistin = ich wich aus
6800420	0	Vergeude nicht damit deine Zeit.	Vergeude deine Zeit nicht mit so etwas.	german	falsche Wortstellung
6855063	0	Wir gehen zusammen aus.	Wir sind ein Paar.	meaning	seurustella = eine Beziehung haben, nicht zusammen ausgehen
6855065	0	Wir gehen zusammen aus.	Wir sind ein Paar.	meaning	seurustella = eine Beziehung haben, nicht zusammen ausgehen
6877958	0	Ich kann Knoblauch nicht riechen.	Ich hasse den Geruch von Knoblauch.	meaning	nicht riechen können ist irreführend (kann ihn nicht wahrnehmen)
6886644	0	Ist Tom noch immer Kapitän eures Schiffes?	Ist Tom noch immer Kapitän deines Schiffes?	person	laivasi = du, nicht ihr
6897030	0	Kennt ihr diesen Mann?	Kennst du diesen Mann?	person	Tunnetko = du, nicht ihr
6924759	0	Ich muss Ihnen etwas zeigen.	Ich muss dir etwas zeigen.	person	sulle = du, nicht Sie
6944692	0	Wir sprechen am Morgen.	Sprechen wir morgen früh.	meaning	Puhutaan = Aufforderung (lass uns); am Morgen unidiomatisch
6946879	0	Ich hätte gerne ein eigenes Zimmer.	Ich hätte gerne ein eigenes Bett.	meaning	sänky = Bett, nicht Zimmer
6955774	0	Bleiben Sie in Ihrem Wagen!	Bleib in deinem Auto!	person	pysy/autossasi = du, nicht Sie
6955780	0	Warum nehmen die Tom?	Wohin bringen sie Tom?	meaning	Minne = wohin, nicht warum
6989226	0	Drohst du mir?	Droht ihr mir?	person	uhkailetteko = ihr/Sie, nicht du
7003143	0	Wir wollen morgen abreisen.	Wir reisen morgen ab.	meaning	wollen (Absicht) steht nicht im finnischen Satz
7024305	0	Lebt Tom jetzt in Boston?	Lebt Tom in Boston?	meaning	jetzt steht nicht im finnischen Satz
7033846	0	Ist das eine Tatsache?	Ist das wahr?	meaning	totta = wahr; „Tatsache“ ist Fehlübersetzung aus dem Englischen
7072212	0	Triffst du dich nicht mit jemandem?	Triffst du dich mit niemandem?	meaning	Etkö tapaile ketään = mit niemandem; „nicht mit jemandem“ verkehrt die Aussage
7089252	0	Ich frage mich, ob ihr es versteht.	Ich frage mich, ob du es verstehst.	person	sinä = du, nicht ihr
7249009	0	Das ist ein beklemmender Gedanke.	Das ist ein deprimierender Gedanke.	meaning	masentava = deprimierend, nicht beklemmend
7263413	0	Wer ißt den Rest?	Wer isst den Rest?	german	veraltete Rechtschreibung „ißt“
7581974	0	Tom ist ein Prominenter.	Tom ist berühmt.	meaning	kuuluisa = berühmt (Adjektiv), nicht Prominenter
7584848	0	Ich liebe Sie.	Ich liebe dich.	person	sua = du, nicht Sie
