sentence_id	index	token	lemma	meaning	form	here	parts	pos	case	number
335643	1	suunnitelmassamme	suunnitelma	Plan	Nomen · Inessiv „in“ Singular · + Possessivendung „unser“	in unserem Plan		nimisana	sisaolento	singular
335643	2	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist → hat		teonsana		singular
335643	3	paljon	paljon	viel	Adverb					
335643	4	hyviä	hyvä	gut	Adjektiv · Partitiv Plural	gute		laatusana	osanto	plural
335643	5	puolia	puoli	Seite; Hälfte	Nomen · Partitiv Plural	Seiten → Vorteile		nimisana	osanto	plural
335649	0	Tuo	tuo	jener, das da	Pronomen · Nominativ Singular	dieses (da)		asemosana	nimento	singular
335649	1	mekko	mekko	Kleid	Nomen · Nominativ Singular			nimisana	nimento	singular
335649	2	sopii	sopia	passen	Verb · 3. Person Sg. (hän) · Präsens	passt, steht		teonsana		singular
335649	3	sinulle	sinä	du	Pronomen · Allativ „auf … zu, an“ Singular	dir		asemosana	ulkotulento	singular
335649	4	hyvin	hyvin	gut	Adverb	(sehr) gut		seikkasana		
335657	0	Mikä	mikä	was, welcher	Pronomen · Nominativ Singular	was		asemosana	nimento	singular
335657	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
335657	2	Suomen	Suomi	Finnland	Ortsname · Genitiv Singular	Finnlands → von Finnland		paikannimi	omanto	singular
335657	3	pääkaupunki	pääkaupunki	Hauptstadt	Nomen · Nominativ Singular		pää+kaupunki	nimisana	nimento	singular
335692	0	Hän	hän	er, sie	Pronomen · Nominativ Singular	er		asemosana	nimento	singular
335692	1	kertoi	kertoa	erzählen	Verb · 3. Person Sg. (hän) · Imperfekt (Vergangenheit)	erzählte		teonsana		singular
335692	2	hauskan	hauska	lustig	Adjektiv · Genitiv Singular	eine lustige		nimisana_laatusana	omanto	singular
335692	3	jutun	juttu	Geschichte, Sache	Nomen · Genitiv Singular	Geschichte		nimisana	omanto	singular
335779	0	Minun	minä	ich	Pronomen · Genitiv Singular	mein		asemosana	omanto	singular
335779	1	kelloni	kello	Uhr	Nomen · Nominativ Singular · + Possessivendung „mein“	meiner Uhr		nimisana	nimento	singular
335779	2	mukaan	mukaan	gemäß, zufolge	Postposition	nach (meiner Uhr)		seikkasana		
335779	3	kello	kello	Uhr	Nomen · Nominativ Singular	(die) Uhr → es ist … Uhr		nimisana	nimento	singular
335779	4	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
335779	5	nyt	nyt	jetzt	Adverb			seikkasana		
335779	6	neljä	neljä	vier	Zahlwort · Nominativ Singular			lukusana	nimento	singular
335992	0	Laittaisitko	laittaa	legen, stellen; machen	Verb · 2. Person Sg. (sinä) · Konditional „würde“ · + Frageendung -ko/-kö	würdest du (einschalten)?		teonsana		singular
335992	1	television	televisio	Fernseher	Nomen · Genitiv Singular	den Fernseher		nimisana	omanto	singular
335992	2	päälle	päälle	an, auf (drauf)	Adverb · (Allativ von pää)	an (laittaa päälle = einschalten)				
335995	0	Sopiiko	sopia	passen	Verb · 3. Person Sg. (hän) · Präsens · + Frageendung -ko/-kö	passt es? → ist es ok?		teonsana		singular
335995	1	että	että	dass	Konjunktion			sidesana		
335995	2	laitan	laittaa	legen, stellen; machen	Verb · 1. Person Sg. (minä) · Präsens	(ich) schalte (ein)		teonsana		singular
335995	3	television	televisio	Fernseher	Nomen · Genitiv Singular	den Fernseher		nimisana	omanto	singular
335995	4	päälle	päälle	an, auf (drauf)	Adverb · (Allativ von pää)	an (laittaa päälle = einschalten)				
354133	0	Ostin	ostaa	kaufen	Verb · 1. Person Sg. (minä) · Imperfekt (Vergangenheit)	(ich) kaufte		teonsana		singular
354133	1	hänelle	hän	er, sie	Pronomen · Allativ „auf … zu, an“ Singular	ihm		asemosana	ulkotulento	singular
354133	2	nuken	nukke	Puppe	Nomen · Genitiv Singular	eine Puppe		nimisana	omanto	singular
354153	0	Uimaan	uida	schwimmen	Verb · 3. Infinitiv -maan/-mään „(um) zu“	(das) Schwimmen (zu lernen)		teonsana	sisatulento	singular
354153	1	oppiminen	oppia	lernen	Verb · Verbalnomen (-minen) „das …“	das Lernen		teonsana	nimento	singular
354153	2	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
354153	3	helppoa	helppo	einfach, leicht	Adjektiv · Partitiv Singular	einfach (Partitiv)		laatusana	osanto	singular
354158	0	Sinä	sinä	du	Pronomen · Nominativ Singular			asemosana	nimento	singular
354158	1	olet	olla	sein	Verb · 2. Person Sg. (sinä) · Präsens	(du) bist		teonsana		singular
354158	2	ihminen	ihminen	Mensch	Nomen · Nominativ Singular			nimisana	nimento	singular
354179	0	Olisi	olla	sein	Verb · 3. Person Sg. (hän) · Konditional „würde“	wäre		teonsana		singular
354179	1	hyvä	hyvä	gut	Adjektiv · Nominativ Singular			laatusana	nimento	singular
354179	2	jos	jos	wenn, falls	Konjunktion			sidesana		
354179	3	osaisit	osata	können (Fähigkeit)	Verb · 2. Person Sg. (sinä) · Konditional „würde“	(du) könntest		teonsana		singular
354179	4	laulaa	laulaa	singen	Verb · Grundform (Infinitiv)			teonsana		
354748	0	En	ei	nicht (Verneinungsverb)	Verneinungsverb · en = ich nicht	ich … nicht		kieltosana		singular
354748	1	tiedä	tietää	wissen	Verb · Verneinungsform (nach ei)	weiß		teonsana		singular
355137	0	Päätimme	päättää	beschließen	Verb · 1. Person Pl. (me) · Imperfekt (Vergangenheit)	(wir) beschlossen		teonsana		plural
355137	1	lähteä	lähteä	aufbrechen, losgehen	Verb · Grundform (Infinitiv)			teonsana		
355137	2	piknikille	piknik	Picknick	Nomen · Allativ „auf … zu, an“ Singular	zum Picknick		nimisana	ulkotulento	singular
355137	3	koska	koska	weil	Konjunktion			sidesana		
355137	4	sää	sää	Wetter	Nomen · Nominativ Singular			nimisana	nimento	singular
355137	5	oli	olla	sein	Verb · 3. Person Sg. (hän) · Imperfekt (Vergangenheit)	war		teonsana		singular
355137	6	niin	niin	so	Adverb			seikkasana		
355137	7	erinomainen	erinomainen	ausgezeichnet	Adjektiv · Nominativ Singular			laatusana	nimento	singular
356199	0	Minä	minä	ich	Pronomen · Nominativ Singular			asemosana	nimento	singular
356199	1	rakastan	rakastaa	lieben	Verb · 1. Person Sg. (minä) · Präsens	(ich) liebe		teonsana		singular
356199	2	sinua	sinä	du	Pronomen · Partitiv Singular	dich		asemosana	osanto	singular
368188	0	En	ei	nicht (Verneinungsverb)	Verneinungsverb · en = ich nicht	ich … nicht		kieltosana		singular
368188	1	puhu	puhua	sprechen	Verb · Verneinungsform (nach ei)	spreche		teonsana		singular
368188	2	japania	japani	Japanisch (Sprache)	Nomen · Partitiv Singular			nimisana	osanto	singular
368189	0	Minulla	minä	ich	Pronomen · Adessiv „auf, bei“ Singular	bei mir → ich habe		asemosana	ulkoolento	singular
368189	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist → (ich) habe		teonsana		singular
368189	2	kysymys	kysymys	Frage	Nomen · Nominativ Singular			nimisana	nimento	singular
368199	0	Hän	hän	er, sie	Pronomen · Nominativ Singular			asemosana	nimento	singular
368199	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
368199	2	minun	minä	ich	Pronomen · Genitiv Singular	mein		asemosana	omanto	singular
368199	3	ystäväni	ystävä	Freund	Nomen · Nominativ Singular · + Possessivendung „mein“	mein Freund		nimisana	nimento	singular
388184	0	Sataa	sataa	regnen	Verb · 3. Person Sg. (hän) · Präsens	(es) regnet		teonsana		singular
409605	0	Minä	minä	ich	Pronomen · Nominativ Singular			asemosana	nimento	singular
409605	1	olen	olla	sein	Verb · 1. Person Sg. (minä) · Präsens	(ich) bin		teonsana		singular
409605	2	nälkäinen	nälkäinen	hungrig	Adjektiv · Nominativ Singular			laatusana	nimento	singular
409663	0	Minä	minä	ich	Pronomen · Nominativ Singular			asemosana	nimento	singular
409663	1	olen	olla	sein	Verb · 1. Person Sg. (minä) · Präsens	(ich) bin		teonsana		singular
409663	2	paras	hyvä	gut	Adjektiv · Nominativ Singular · Superlativ	(der) beste		laatusana	nimento	singular
419607	0	Hän	hän	er, sie	Pronomen · Nominativ Singular	er		asemosana	nimento	singular
419607	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
419607	2	vielä	vielä	noch	Adverb			seikkasana		
419607	3	työssä	työ	Arbeit	Nomen · Inessiv „in“ Singular	bei der Arbeit		nimisana	sisaolento	singular
425851	0	Tänään	tänään	heute	Adverb			seikkasana		
425851	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
425851	2	vähän	vähän	wenig, ein bisschen	Adverb	ein bisschen		seikkasana		
425851	3	kylmä	kylmä	kalt	Adjektiv · Nominativ Singular			nimisana_laatusana	nimento	singular
426090	0	Hän	hän	er, sie	Pronomen · Nominativ Singular	er		asemosana	nimento	singular
426090	1	ei	ei	nicht (Verneinungsverb)	Verneinungsverb · ei = er/sie/es nicht	(er) … nicht		kieltosana		singular
426090	2	ole	olla	sein	Verb · Verneinungsform (nach ei)	ist		teonsana		singular
426090	3	lääkäri	lääkäri	Arzt	Nomen · Nominativ Singular	(kein) Arzt		nimisana	nimento	singular
440803	0	Opiskeletko	opiskella	studieren, lernen	Verb · 2. Person Sg. (sinä) · Präsens · + Frageendung -ko/-kö	studierst du?		teonsana		singular
457835	0	Oletko	olla	sein	Verb · 2. Person Sg. (sinä) · Präsens · + Frageendung -ko/-kö	bist du?		teonsana		singular
457835	1	lääkäri	lääkäri	Arzt	Nomen · Nominativ Singular			nimisana	nimento	singular
509764	0	Kyllä	kyllä	ja	Adverb			seikkasana		
516183	0	Anteeksi	anteeksi	Entschuldigung	Ausruf	Entschuldigung → (wie bitte)		seikkasana		
516183	1	kuinka	kuinka	wie	Fragewort	wie?				
516229	0	En	ei	nicht (Verneinungsverb)	Verneinungsverb · en = ich nicht	ich … nicht		kieltosana		singular
516229	1	halua	haluta	wollen, möchten	Verb · Verneinungsform (nach ei)	möchte		teonsana		singular
516229	2	auttaa	auttaa	helfen	Verb · Grundform (Infinitiv)			teonsana		
516229	3	sinua	sinä	du	Pronomen · Partitiv Singular	dir (auttaa + Partitiv)		asemosana	osanto	singular
516236	0	Eikö	ei	nicht (Verneinungsverb)	Verneinungsverb · ei = er/sie/es nicht · + Frageendung -ko/-kö	nicht …? (Frage)		kieltosana		singular
516236	1	sinulla	sinä	du	Pronomen · Adessiv „auf, bei“ Singular	bei dir → du hast		asemosana	ulkoolento	singular
516236	2	ole	olla	sein	Verb · Verneinungsform (nach ei)	ist → hast		teonsana		singular
516236	3	nälkä	nälkä	Hunger	Nomen · Nominativ Singular			nimisana	nimento	singular
668643	0	Olen	olla	sein	Verb · 1. Person Sg. (minä) · Präsens	(ich) bin		teonsana		singular
668643	1	amerikkalainen	amerikkalainen	amerikanisch; Amerikaner	Adjektiv · Nominativ Singular			laatusana	nimento	singular
668647	0	Voinko	voida	können, dürfen	Verb · 1. Person Sg. (minä) · Präsens · + Frageendung -ko/-kö	kann ich …?		teonsana		singular
668647	1	lähteä	lähteä	gehen, aufbrechen	Verb · Grundform (Infinitiv)			teonsana		
722606	0	Nähdään	nähdä	sehen	Verb · Passiv (Umgangssprache auch: wir-Form) · Präsens	wir sehen uns → bis bald		teonsana		
738169	0	Minä	minä	ich	Pronomen · Nominativ Singular			asemosana	nimento	singular
738169	1	luen	lukea	lesen	Verb · 1. Person Sg. (minä) · Präsens	(ich) lese		teonsana		singular
738169	2	kirjaa	kirja	Buch	Nomen · Partitiv Singular	ein Buch (Partitiv)		nimisana	osanto	singular
752690	0	Hänellä	hän	er, sie	Pronomen · Adessiv „auf, bei“ Singular	bei ihm → er hat		asemosana	ulkoolento	singular
752690	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist → hat		teonsana		singular
752690	2	paljon	paljon	viel	Adverb					
752690	3	rahaa	raha	Geld	Nomen · Partitiv Singular	Geld (Partitiv)		nimisana	osanto	singular
752702	0	Hän	hän	er, sie	Pronomen · Nominativ Singular			asemosana	nimento	singular
752702	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
752702	2	vapaa	vapaa	frei	Adjektiv · Nominativ Singular			nimisana_laatusana	nimento	singular
752702	3	huomenna	huomenna	morgen	Adverb			seikkasana		
752736	0	Hyvästi	hyvästi	auf Wiedersehen, lebe wohl	Ausruf					
752738	0	Näkemiin	näkemiin	auf Wiedersehen	Adverb			seikkasana		
756281	0	Palautan	palauttaa	zurückgeben	Verb · 1. Person Sg. (minä) · Präsens	(ich) gebe zurück		teonsana		singular
756281	1	kirjan	kirja	Buch	Nomen · Genitiv Singular	das Buch		nimisana	omanto	singular
756281	2	heti	heti	sofort	Adverb	heti kun = sobald		seikkasana		
756281	3	kun	kun	wenn, als	Konjunktion			sidesana		
756281	4	voin	voida	können	Verb · 1. Person Sg. (minä) · Präsens	(ich) kann		teonsana		singular
757899	0	Haluan	haluta	wollen, möchten	Verb · 1. Person Sg. (minä) · Präsens	(ich) möchte		teonsana		singular
757899	1	nähdä	nähdä	sehen	Verb · Grundform (Infinitiv)			teonsana		
757899	2	äitisi	äiti	Mutter	Nomen · Nominativ Singular · + Possessivendung „dein“	deine Mutter		nimisana	nimento	singular
773331	0	Haluatko	haluta	wollen, möchten	Verb · 2. Person Sg. (sinä) · Präsens · + Frageendung -ko/-kö	möchtest du …?		teonsana		singular
773331	1	syödä	syödä	essen	Verb · Grundform (Infinitiv)			teonsana		
773382	0	Onko	olla	sein	Verb · 3. Person Sg. (hän) · Präsens · + Frageendung -ko/-kö	ist …? → hast du …?		teonsana		singular
773382	1	sinulla	sinä	du	Pronomen · Adessiv „auf, bei“ Singular	bei dir → du hast		asemosana	ulkoolento	singular
773382	2	lapsia	lapsi	Kind	Nomen · Partitiv Plural	Kinder		nimisana	osanto	plural
778578	0	Hyvää	hyvä	gut	Adjektiv · Partitiv Singular	guten		laatusana	osanto	singular
778578	1	päivää	päivä	Tag	Nomen · Partitiv Singular	(guten) Tag		nimisana	osanto	singular
778971	0	Miksi	miksi	warum	Fragewort · (Translativ von mikä)					
781098	0	Onko	olla	sein	Verb · 3. Person Sg. (hän) · Präsens · + Frageendung -ko/-kö	ist …? → hast du …?		teonsana		singular
781098	1	sinulla	sinä	du	Pronomen · Adessiv „auf, bei“ Singular	bei dir → du hast		asemosana	ulkoolento	singular
781098	2	jano	jano	Durst	Nomen · Nominativ Singular			nimisana	nimento	singular
783481	0	Kuka	kuka	wer	Pronomen · Nominativ Singular			asemosana	nimento	singular
783481	1	tietää	tietää	wissen	Verb · 3. Person Sg. (hän) · Präsens	weiß		teonsana		singular
792982	0	Kuunteletko	kuunnella	zuhören, hören	Verb · 2. Person Sg. (sinä) · Präsens · + Frageendung -ko/-kö	hörst du … zu?		teonsana		singular
792982	1	minua	minä	ich	Pronomen · Partitiv Singular	mir (Partitiv)		asemosana	osanto	singular
792983	0	Kuuletko	kuulla	hören	Verb · 2. Person Sg. (sinä) · Präsens · + Frageendung -ko/-kö	hörst du …?		teonsana		singular
792983	1	minua	minä	ich	Pronomen · Partitiv Singular	mich		asemosana	osanto	singular
801107	0	He	he	sie (Plural)	Pronomen · Nominativ Plural			asemosana	nimento	plural
801107	1	ovat	olla	sein	Verb · 3. Person Pl. (he) · Präsens	sind		teonsana		plural
801107	2	lääkäreitä	lääkäri	Arzt	Nomen · Partitiv Plural	Ärzte (Partitiv Plural)		nimisana	osanto	plural
809255	0	Olen	olla	sein	Verb · 1. Person Sg. (minä) · Präsens	(ich) bin		teonsana		singular
809255	1	kotona	kotona	zu Hause	Adverb					
809835	0	Tänään	tänään	heute	Adverb			seikkasana		
809835	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
809835	2	maanantai	maanantai	Montag	Nomen · Nominativ Singular			nimisana	nimento	singular
812662	0	Annan	antaa	geben	Verb · 1. Person Sg. (minä) · Präsens	(ich) gebe		teonsana		singular
812662	1	sinulle	sinä	du	Pronomen · Allativ „auf … zu, an“ Singular	dir		asemosana	ulkotulento	singular
812662	2	kirjan	kirja	Buch	Nomen · Genitiv Singular	ein Buch (Objekt)		nimisana	omanto	singular
813103	0	Tarvitsen	tarvita	brauchen	Verb · 1. Person Sg. (minä) · Präsens	(ich) brauche		teonsana		singular
813103	1	ystäviä	ystävä	Freund	Nomen · Partitiv Plural	Freunde		nimisana	osanto	plural
816242	0	Olen	olla	sein	Verb · 1. Person Sg. (minä) · Präsens	(ich) bin → habe (recht)		teonsana		singular
816242	1	oikeassa	oikea	richtig	Adjektiv · Inessiv „in“ Singular	im Recht → habe recht (olla oikeassa)		nimisana_laatusana	sisaolento	singular
816253	0	Näen	nähdä	sehen	Verb · 1. Person Sg. (minä) · Präsens	(ich) sehe		teonsana		singular
816253	1	kirjan	kirja	Buch	Nomen · Genitiv Singular	ein Buch (Objekt)		nimisana	omanto	singular
816255	0	Tiedätkö	tietää	wissen; kennen	Verb · 2. Person Sg. (sinä) · Präsens · + Frageendung -ko/-kö	kennst du …?		teonsana		singular
816255	1	hyvää	hyvä	gut	Adjektiv · Partitiv Singular	guten (Partitiv)		laatusana	osanto	singular
816255	2	hammaslääkäriä	hammaslääkäri	Zahnarzt	Nomen · Partitiv Singular	Zahnarzt (Partitiv)	hammas+lääkäri	nimisana	osanto	singular
816262	0	Hän	hän	er, sie	Pronomen · Nominativ Singular	er		asemosana	nimento	singular
816262	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
816262	2	hyvä	hyvä	gut	Adjektiv · Nominativ Singular			laatusana	nimento	singular
816262	3	jalkapallossa	jalkapallo	Fußball	Nomen · Inessiv „in“ Singular	im Fußball	jalka+pallo	nimisana	sisaolento	singular
822647	0	Tämä	tämä	dieser, das hier	Pronomen · Nominativ Singular	das		asemosana	nimento	singular
822647	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
822647	2	fakta	fakta	Tatsache, Fakt	Nomen · Nominativ Singular			nimisana	nimento	singular
824139	0	Hän	hän	er, sie	Pronomen · Nominativ Singular			asemosana	nimento	singular
824139	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
824139	2	köyhä	köyhä	arm	Adjektiv · Nominativ Singular			nimisana_laatusana	nimento	singular
824397	0	Minulla	minä	ich	Pronomen · Adessiv „auf, bei“ Singular	bei mir → ich habe		asemosana	ulkoolento	singular
824397	1	ei	ei	nicht (Verneinungsverb)	Verneinungsverb · ei = er/sie/es nicht	nicht (ich habe nicht)		kieltosana		singular
824397	2	ole	olla	sein	Verb · Verneinungsform (nach ei)	ist → habe		teonsana		singular
824397	3	suunnitelmia	suunnitelma	Plan	Nomen · Partitiv Plural	Pläne (Partitiv Plural)		nimisana	osanto	plural
824397	4	viikonlopuksi	viikonloppu	Wochenende	Nomen · Translativ „zu … (werden)“ Singular	fürs Wochenende	viikko+loppu	nimisana	tulento	singular
831192	0	Tom	Tom	Tom (Name)	Name · Nominativ Singular			etunimi	nimento	singular
831192	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
831192	2	opiskelija	opiskelija	Student	Nomen · Nominativ Singular			nimisana	nimento	singular
846250	0	Hän	hän	er, sie	Pronomen · Nominativ Singular			asemosana	nimento	singular
846250	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
846250	2	maalivahti	maalivahti	Torwart	Nomen · Nominativ Singular		maali+vahti	nimisana	nimento	singular
866832	0	Olen	olla	sein	Verb · 1. Person Sg. (minä) · Präsens	(ich) bin		teonsana		singular
866832	1	18	18	18	Zahlwort			lukusana		
866832	2	vuotta	vuosi	Jahr	Nomen · Partitiv Singular	Jahre		nimisana	osanto	singular
866832	3	vanha	vanha	alt	Adjektiv · Nominativ Singular			nimisana_laatusana	nimento	singular
867005	0	En	ei	nicht (Verneinungsverb)	Verneinungsverb · en = ich nicht	ich … nicht		kieltosana		singular
867005	1	tiedä	tietää	wissen	Verb · Verneinungsform (nach ei)	weiß		teonsana		singular
867005	2	mitään	mikään	(nicht) irgendetwas	Pronomen · Partitiv Singular	nichts		asemosana	osanto	singular
867005	3	hänen	hän	er, sie	Pronomen · Genitiv Singular	ihr (Genitiv)		asemosana	omanto	singular
867005	4	perheestään	perhe	Familie	Nomen · Elativ „aus“ Singular · + Possessivendung „sein/ihr“	über ihre Familie (Elativ)		nimisana	sisaeronto	singular
875108	0	Missä	missä	wo	Fragewort · (Inessiv von mikä)					
875108	1	tapaamme	tavata	treffen	Verb · 1. Person Pl. (me) · Präsens	(wir) treffen (uns)		teonsana		plural
878451	0	Hegelin	Hegel	Hegel (Name)	Name · Genitiv Singular	Hegels		sukunimi	omanto	singular
878451	1	filosofia	filosofia	Philosophie	Nomen · Nominativ Singular			nimisana	nimento	singular
878451	2	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
878451	3	niin	niin	so	Adverb			seikkasana		
878451	4	kummallista	kummallinen	seltsam	Adjektiv · Partitiv Singular			laatusana	osanto	singular
878451	5	ettei	ettei	dass nicht (Verneinungsverb)	Verneinungsverb · ei = er/sie/es nicht	dass … nicht	ett+ei	kieltosana		singular
878451	6	olisi	olla	sein	Verb · Konditional · Verneinungsform	hätte (man)		teonsana		singular
878451	7	odottanut	odottaa	erwarten	Verbform · Partizip Perfekt aktiv (-nut/-nyt)	erwartet		laatusana	nimento	singular
878451	8	hänen	hän	er, sie	Pronomen · Genitiv Singular	(seiner) → dass er		asemosana	omanto	singular
878451	9	saavan	saada	bekommen; dazu bringen	Verbform · Partizip Präsens aktiv (-va/-vä) · Genitiv Singular	(dass er) dazu bringt				
878451	10	täysjärkisiä	täysjärkinen	vernünftig	Adjektiv · Partitiv Plural	vernünftige (Menschen)		laatusana	osanto	plural
878451	11	hyväksymään	hyväksyä	akzeptieren	Verb · 3. Infinitiv -maan/-mään „(um) zu“	(zu) akzeptieren		teonsana	sisatulento	singular
878451	12	sitä	se	es, das	Pronomen · Partitiv Singular	sie (die Philosophie)		asemosana	osanto	singular
878451	13	mutta	mutta	aber	Konjunktion			sidesana		
878451	14	hän	hän	er, sie	Pronomen · Nominativ Singular	er		asemosana	nimento	singular
878451	15	sai	saada	bekommen; dazu bringen	Verb · 3. Person Sg. (hän) · Imperfekt (Vergangenheit)	schaffte es		teonsana		singular
878451	16	Hän	hän	er, sie	Pronomen · Nominativ Singular	er		asemosana	nimento	singular
878451	17	esitti	esittää	darstellen, vortragen	Verb · 3. Person Sg. (hän) · Imperfekt (Vergangenheit)	stellte dar		teonsana		singular
878451	18	sen	se	es, das	Pronomen · Genitiv Singular	sie		asemosana	omanto	singular
878451	19	niin	niin	so	Adverb			seikkasana		
878451	20	hämärästi	hämärä	unklar, dunkel	Adjektiv · Adverbform (-sti) „auf … Weise“	unklar		laatusana	kerrontosti	
878451	21	että	että	dass	Konjunktion			sidesana		
878451	22	sen	se	es, das	Pronomen · Genitiv Singular	(ihr) → sie (musste)		asemosana	omanto	singular
878451	23	oli	olla	sein	Verb · 3. Person Sg. (hän) · Imperfekt (Vergangenheit)	war		teonsana		singular
878451	24	ihmisten	ihminen	Mensch	Nomen · Genitiv Plural	der Menschen		nimisana	omanto	plural
878451	25	mielestä	mieli	Sinn, Meinung	Nomen · Elativ „aus“ Singular	nach Meinung (der Menschen)		nimisana	sisaeronto	singular
878451	26	pakko	pakko	Zwang	Nomen · Nominativ Singular	(oli pakko → musste)		nimisana	nimento	singular
878451	27	olla	olla	sein	Verb · Grundform (Infinitiv)			teonsana		
878451	28	syvällistä	syvällinen	tiefsinnig	Adjektiv · Partitiv Singular			laatusana	osanto	singular
879573	0	Kuppi	kuppi	Tasse	Nomen · Nominativ Singular	die Tasse		nimisana	nimento	singular
879573	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist → steht		teonsana		singular
879573	2	pöydällä	pöytä	Tisch	Nomen · Adessiv „auf, bei“ Singular	auf dem Tisch		nimisana	ulkoolento	singular
879595	0	Tuolla	tuo	jener, das da	Pronomen · Adessiv „auf, bei“ Singular	dort		asemosana	ulkoolento	singular
879595	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist		teonsana		singular
879595	2	poika	poika	Junge	Nomen · Nominativ Singular			nimisana	nimento	singular
879601	0	Pojalla	poika	Junge, Sohn	Nomen · Adessiv „auf, bei“ Singular	beim Jungen → der Junge hat		nimisana	ulkoolento	singular
879601	1	on	olla	sein	Verb · 3. Person Sg. (hän) · Präsens	ist → hat		teonsana		singular
879601	2	sanomalehti	sanomalehti	Zeitung	Nomen · Nominativ Singular		sanoma+lehti	nimisana	nimento	singular
879616	0	Kiitos	kiitos	danke	Ausruf					
879616	1	hyvää	hyvä	gut	Adjektiv · Partitiv Singular	gut (Antwort auf „Wie geht’s?“)		laatusana	osanto	singular
879616	2	entä	entä	und (was ist mit …)	Adverb			seikkasana		
879616	3	teille	te	ihr, Sie	Pronomen · Allativ „auf … zu, an“ Plural	(für) Sie, Ihnen		asemosana	ulkotulento	plural
879632	0	Menen	mennä	gehen	Verb · 1. Person Sg. (minä) · Präsens	(ich) gehe		teonsana		singular
879632	1	kauppaan	kauppa	Laden, Geschäft	Nomen · Illativ „in … hinein“ Singular	in den Laden		nimisana	sisatulento	singular
879634	0	Menen	mennä	gehen	Verb · 1. Person Sg. (minä) · Präsens	(ich) gehe		teonsana		singular
879634	1	pankkiin	pankki	Bank	Nomen · Illativ „in … hinein“ Singular	zur (in die) Bank		nimisana	sisatulento	singular
879660	0	Miten	miten	wie	Fragewort			seikkasana		
879660	1	se	se	es, das	Pronomen · Nominativ Singular	das		asemosana	nimento	singular
